Entity DCID,Entity properties name,Variable observation value
wikidataId/Q172,Toronto,2410060
wikidataId/Q340,Montreal,1492520
wikidataId/Q36312,Calgary,1070930
wikidataId/Q1930,Ottawa,850525
wikidataId/Q2096,Edmonton,826785
wikidataId/Q2135,Winnipeg,625260
wikidataId/Q50816,Mississauga,608645
wikidataId/Q24639,Vancouver,591675
wikidataId/Q44198,Brampton,538825
wikidataId/Q133116,Hamilton,478115
wikidataId/Q390583,Surrey,474265
wikidataId/Q2145,Quebec City,468435
wikidataId/Q2141,Halifax,374790
wikidataId/Q141810,Laval,363165
wikidataId/Q92561,London,353305
wikidataId/Q44016,Markham,284620
wikidataId/Q44013,Vaughan,269815
wikidataId/Q141844,Gatineau,238440
wikidataId/Q10566,Saskatoon,217450
wikidataId/Q244025,Burnaby,216825
wikidataId/Q236837,Richmond,216280
wikidataId/Q200166,Kitchener,211980
wikidataId/Q139398,Longueuil,211840
wikidataId/Q182625,Windsor,193020
wikidataId/Q2123,Regina,183750
wikidataId/Q424984,Oakville,175320
wikidataId/Q52998,Richmond Hill,172050
wikidataId/Q34218,Burlington,157050
wikidataId/Q139473,Sherbrooke,145720
wikidataId/Q211867,Oshawa,144580
wikidataId/Q1028279,Cambridge,143245
wikidataId/Q271730,Abbotsford,126870
wikidataId/Q643215,Coquitlam,126220
wikidataId/Q232226,Kelowna,124990
wikidataId/Q139208,Lévis,124535
wikidataId/Q139229,Saguenay,123115
wikidataId/Q34183,Barrie,123085
wikidataId/Q504114,Guelph,120230
wikidataId/Q44012,Trois-Rivières,119595
wikidataId/Q126805,St. Catharines,117455
wikidataId/Q202973,Kingston,113755
wikidataId/Q386338,Whitby,112075
wikidataId/Q2593110,"Woodbridge, Ontario",106810
wikidataId/Q639408,Waterloo,103795
wikidataId/Q386567,Ajax,102860
wikidataId/Q16461,Nanaimo,101987
wikidataId/Q425057,Milton,100995
wikidataId/Q139190,Terrebonne,96135
wikidataId/Q2082,St. John's,95980
wikidataId/Q983026,Chilliwack,95798
wikidataId/Q34116,Thunder Bay,93420
wikidataId/Q851838,Delta,92030
wikidataId/Q113464,Chatham-Kent,87435
wikidataId/Q2132,Victoria,83415
wikidataId/Q473209,Kamloops,83070
wikidataId/Q386626,Pickering,82785
wikidataId/Q23025,Red Deer,82475
wikidataId/Q270887,Lethbridge,81345
wikidataId/Q141977,Saint-Jean-sur-Richelieu,81230
wikidataId/Q274120,Niagara Falls,80525
wikidataId/Q1451232,Stoney Creek,76382
wikidataId/Q139104,Brossard,76360
wikidataId/Q16740,Maple Ridge,74920
wikidataId/Q52999,Newmarket,73425
wikidataId/Q776930,Peterborough,71695
wikidataId/Q139427,Repentigny,70565
wikidataId/Q876122,New Westminster,68985
wikidataId/Q384755,Kawartha Lakes,68710
wikidataId/Q141724,Saint-Jérôme,67760
wikidataId/Q141940,Drummondville,66860
wikidataId/Q590205,Prince George,63750
wikidataId/Q424659,Caledon,63425
wikidataId/Q463165,Sault Ste. Marie,61800
wikidataId/Q34106,Sarnia,61475
wikidataId/Q141881,Granby,58445
wikidataId/Q939127,St. Albert,55960
wikidataId/Q408537,Airdrie,55835
wikidataId/Q2138,Fredericton,53995
wikidataId/Q368241,Medicine Hat,52640
wikidataId/Q266438,Aurora,51475
wikidataId/Q1001626,North Vancouver,50805
wikidataId/Q642900,Grande Prairie,50170
wikidataId/Q139568,Blainville,48810
wikidataId/Q141873,Saint-Hyacinthe,48750
wikidataId/Q141921,Mirabel,48490
wikidataId/Q424773,Welland,47435
wikidataId/Q912253,North Bay,45060
wikidataId/Q3492093,New Tecumseth,43948
wikidataId/Q141980,Shawinigan,43330
wikidataId/Q3492080,Innisfil,43326
wikidataId/Q1336,Rimouski,41965
wikidataId/Q141522,Châteauguay,41480
wikidataId/Q141748,Mascouche,41025
wikidataId/Q141998,Dollard-des-Ormeaux,40515
wikidataId/Q956690,Cornwall,40340
wikidataId/Q141731,Victoriaville,40320
wikidataId/Q483334,Whitchurch–Stouffville,40210
wikidataId/Q115788,Langford,38580
wikidataId/Q985671,Vernon,38485
wikidataId/Q1642364,Woodstock,38475
wikidataId/Q141505,Saint-Eustache,37725
wikidataId/Q142039,Salaberry-de-Valleyfield,36530
wikidataId/Q813856,Bedford,36354
wikidataId/Q141924,Boucherville,35235
wikidataId/Q141804,Rouyn-Noranda,35015
wikidataId/Q141711,Vaudreuil-Dorion,34720
wikidataId/Q991310,Timmins,34490
wikidataId/Q3492517,Bradford West Gwillimbury,33695
wikidataId/Q2127,Charlottetown,33660
wikidataId/Q2373358,Orillia,33411
wikidataId/Q1801144,Lakeshore,33080
wikidataId/Q935519,Penticton,32485
wikidataId/Q932261,Sydney,30960
wikidataId/Q142010,Sorel‐Tracy,30785
wikidataId/Q5958093,West Kelowna,30200
wikidataId/Q671431,Prince Albert,29570
wikidataId/Q1013456,Spruce Grove,29500
wikidataId/Q142271,Pointe-Claire,28605
wikidataId/Q268103,Fort Erie,28500
wikidataId/Q139588,Côte-Saint-Luc,28475
wikidataId/Q776261,Port Moody,28020
wikidataId/Q483424,East Gwillimbury,28005
wikidataId/Q1019496,Moose Jaw,27700
wikidataId/Q143227,Saint-Georges,27610
wikidataId/Q1435042,LaSalle,27200
wikidataId/Q141937,Val-d'Or,27130
wikidataId/Q891636,Bolton,26795
wikidataId/Q1207513,Leduc,26655
wikidataId/Q141973,Alma,25690
wikidataId/Q1105163,Cochrane,25360
wikidataId/Q142156,Sainte-Julie,24840
wikidataId/Q3501912,Collingwood,24811
wikidataId/Q142069,Chambly,24715
wikidataId/Q142004,Magog,24595
wikidataId/Q1017477,Courtenay,24575
wikidataId/Q923243,Langley,24545
wikidataId/Q2566566,Leamington,24480
wikidataId/Q2470087,Orangeville,24445
wikidataId/Q424901,Grimsby,24205
wikidataId/Q142064,Saint-Constant,23950
wikidataId/Q1363726,Okotoks,23835
wikidataId/Q264075,Dieppe,23410
wikidataId/Q142087,Sainte-Thérèse,23250
wikidataId/Q2058,Whitehorse,23250
wikidataId/Q139474,Boisbriand,22765
wikidataId/Q141995,Thetford Mines,22540
wikidataId/Q483483,King,22460
wikidataId/Q3047234,Wasaga Beach,21955
wikidataId/Q2364972,Clarence-Rockland,21790
wikidataId/Q142092,La Prairie,21640
wikidataId/Q142333,Saint-Bruno-de-Montarville,21630
wikidataId/Q1007407,Fort Saskatchewan,21465
wikidataId/Q448259,Lincoln,21450
wikidataId/Q599678,Powell River,21407
wikidataId/Q141699,Sept-Îles,20570
wikidataId/Q1007418,Cobourg,20519
wikidataId/Q1138837,Cranbrook,20499
wikidataId/Q448120,Thorold,19800
wikidataId/Q385335,Amherstburg,19795
wikidataId/Q3089334,Tecumseh,19750
wikidataId/Q1950648,Mount Pearl,19645
wikidataId/Q138841,Beloeil,19525
wikidataId/Q139437,Saint-Lambert,19345
wikidataId/Q1369892,Pitt Meadows,19146
wikidataId/Q3085326,Kingsville,18545
wikidataId/Q1017735,Owen Sound,18525
wikidataId/Q142076,Candiac,18430
wikidataId/Q142072,Saint-Lin–Laurentides,18400
wikidataId/Q141754,L'Assomption,18375
wikidataId/Q141760,Joliette,18330
wikidataId/Q559147,Essex,17970
wikidataId/Q142426,Saint-Lazare,17830
wikidataId/Q139654,Baie-Comeau,17715
wikidataId/Q2532991,Riverview,17460
wikidataId/Q424704,Port Colborne,17400
wikidataId/Q142024,Rivière-du-Loup,17365
wikidataId/Q142014,Varennes,17280
wikidataId/Q999303,Chestermere,17130
wikidataId/Q991363,Corner Brook,17055
wikidataId/Q448372,Niagara-on-the-Lake,16990
wikidataId/Q142102,Saint-Augustin-de-Desmaures,16915
wikidataId/Q3108251,Glace Bay,16915
wikidataId/Q23021,Fort St. John,16885
wikidataId/Q139497,Westmount,16820
wikidataId/Q139088,Mount Royal,16695
wikidataId/Q141963,Dorval,16650
wikidataId/Q3010939,Salmon Arm,16620
wikidataId/Q142117,Kirkland,16340
wikidataId/Q2061,Yellowknife,16220
wikidataId/Q3054408,Simcoe,16121
wikidataId/Q2415848,Tillsonburg,15985
wikidataId/Q3492087,Saugeen Shores,15908
wikidataId/Q1113057,Colwood,15815
wikidataId/Q142035,Beaconsfield,15810
wikidataId/Q2981843,Russell,15740
wikidataId/Q139406,Mont-Saint-Hilaire,15715
wikidataId/Q1022127,Port Alberni,15680
wikidataId/Q1017691,Cold Lake,15661
wikidataId/Q775610,Camrose,15595
wikidataId/Q253903,Beaumont,15565
wikidataId/Q448041,Pelham,15470
wikidataId/Q14944797,Esquimalt,15395
wikidataId/Q964313,Quispamsis,15335
wikidataId/Q142436,Sainte-Marthe-sur-le-Lac,15135
wikidataId/Q141769,La Tuque,15125
wikidataId/Q613870,Port Hope,15080
wikidataId/Q141903,Gaspé,15063
wikidataId/Q3305306,Paris,14956
wikidataId/Q1053984,Central Saanich,14940
wikidataId/Q1018257,Comox,14806
wikidataId/Q141943,Deux-Montagnes,14650
wikidataId/Q991257,Edmundston,14575
wikidataId/Q1744021,Stony Plain,14570
wikidataId/Q142218,L'Ancienne-Lorette,14465
wikidataId/Q142190,Sainte-Catherine,14440
wikidataId/Q1075086,Pembroke,14364
wikidataId/Q1455440,Petawawa,14205
wikidataId/Q142058,Mont-Laurier,14180
wikidataId/Q1026567,Steinbach,14020
wikidataId/Q203122,Whistler,13982
wikidataId/Q619937,Swift Current,13980
wikidataId/Q991515,Canmore,13935
wikidataId/Q142170,Saint-Basile-le-Grand,13695
wikidataId/Q141385,Prévost,13692
wikidataId/Q863058,Summerside,13690
wikidataId/Q141584,Saint-Colomban,13665
wikidataId/Q4116650,South Stormont,13570
wikidataId/Q2642428,Saint-Charles-Borromée,13460
wikidataId/Q1639696,Yorkton,13345
wikidataId/Q937901,Gravenhurst,13157
wikidataId/Q142107,Cowansville,12955
wikidataId/Q1059903,Mackenzie County,12804
wikidataId/Q993727,Sooke,12680
wikidataId/Q993714,Kenora,12670
wikidataId/Q2981802,Mississippi Mills,12565
wikidataId/Q2046751,Sylvan Lake,12560
wikidataId/Q1438931,Parksville,12380
wikidataId/Q141492,Sainte-Anne-des-Plaines,12360
wikidataId/Q142029,Matane,12250
wikidataId/Q2925383,Brighton,12108
wikidataId/Q142250,Lachute,12105
wikidataId/Q141551,Pincourt,11905
wikidataId/Q1743705,High River,11875
wikidataId/Q5130929,Clearwater County,11865
wikidataId/Q141403,Lavaltrie,11655
wikidataId/Q141393,Dolbeau-Mistassini,11635
wikidataId/Q142196,Rosemère,11620
wikidataId/Q1661430,Rural Municipality of St. Clements,11586
wikidataId/Q143360,Saint-Sauveur,11580
wikidataId/Q3492505,Thames Centre,11575
wikidataId/Q1018325,Strathmore,11510
wikidataId/Q1055838,Brooks,11510
wikidataId/Q139109,Beauharnois,11410
wikidataId/Q142192,Mercier,11385
wikidataId/Q2729034,Elliot Lake,11372
wikidataId/Q141420,Marieville,11332
wikidataId/Q141542,Bécancour,11260
wikidataId/Q390530,Sidney,11230
wikidataId/Q7990045,County of Wetaskiwin No. 10,11212
wikidataId/Q999654,North Battleford,11100
wikidataId/Q141946,Montmagny,10999
wikidataId/Q142082,Mont-Tremblant,10992
wikidataId/Q1018271,Estevan,10851
wikidataId/Q1259274,Sechelt,10847
wikidataId/Q2000769,North Saanich,10840
wikidataId/Q810807,Bathurst,10840
wikidataId/Q6467890,Lac Ste. Anne County,10832
wikidataId/Q1017624,Portage la Prairie,10795
wikidataId/Q141652,Sainte-Marie,10795
wikidataId/Q1743833,Lacombe,10760
wikidataId/Q1019402,Winkler,10645
wikidataId/Q141705,Amos,10645
wikidataId/Q2747793,Blackfalds,10470
wikidataId/Q8051939,Yellowhead County,10426
wikidataId/Q3461735,Saint-Amable,10305
wikidataId/Q950050,Wetaskiwin,10305
wikidataId/Q1015639,Prince Rupert,10190
wikidataId/Q141743,Farnham,10149
wikidataId/Q142313,Pont-Rouge,10121
wikidataId/Q240864,Rothesay,10100
wikidataId/Q2484356,View Royal,9945
wikidataId/Q984214,Whitecourt,9927
wikidataId/Q141954,Roberval,9840
wikidataId/Q141738,Sainte-Agathe-des-Monts,9825
wikidataId/Q141590,L'Ile-Perrot,9820
wikidataId/Q1016692,Hinton,9817
wikidataId/Q1021037,Terrace,9760
wikidataId/Q991295,Thompson,9670
wikidataId/Q1982768,Temiskaming Shores,9634
wikidataId/Q1779015,Nelson,9560
wikidataId/Q484865,Port Perry,9553
wikidataId/Q1864950,"Listowel, Ontario",9539
wikidataId/Q141983,Bromont,9525
wikidataId/Q3492472,Huron East,9512
wikidataId/Q470594,Amherst,9404
wikidataId/Q344432,Acton,9377
wikidataId/Q141389,Notre-Dame-de-l'Île-Perrot,9315
wikidataId/Q1010790,Qualicum Beach,9303
wikidataId/Q2184124,Minto,9300
wikidataId/Q991692,Olds,9209
wikidataId/Q1904521,Warman,9200
wikidataId/Q142391,Carignan,9190
wikidataId/Q3492590,South Bruce Peninsula,9137
wikidataId/Q2039207,Williams Lake,9110
wikidataId/Q1661655,Rural Municipality of Taché,9105
wikidataId/Q141378,Plessisville,9069
wikidataId/Q1966925,Oromocto,9045
wikidataId/Q4859980,Shelburne,8994
wikidataId/Q142504,Saint-Rémi,8957
wikidataId/Q5170975,Corman Park No. 344,8909
wikidataId/Q81223838,L'Épiphanie,8883
wikidataId/Q142053,Coaticook,8867
wikidataId/Q1746037,Taber,8862
wikidataId/Q1004103,Stratford,8860
wikidataId/Q474178,Bridgewater,8790
wikidataId/Q252504,North Dumfries,8680
wikidataId/Q493025,Edson,8374
wikidataId/Q2067514,Quesnel,8370
wikidataId/Q58337,Banff,8305
wikidataId/Q1893229,Revelstoke,8275
wikidataId/Q139019,Bois-des-Filion,8240
wikidataId/Q2143987,Renfrew,8190
